Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,Source_Airport_Name,Source_City,Source_Country,Source_Latitude,Source_Longitude,Destination_Airport_Name,Destination_City,Destination_Country,Destination_Latitude,Destination_Longitude,Route,Route_Type
6E,2850.0,COK,3136.0,DEL,3093.0,,0,320,Cochin International Airport,Kochi,India,10.152,76.401901,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Cochin International Airport → Indira Gandhi International Airport,Domestic
6E,2850.0,COK,3136.0,DXB,2188.0,,0,320,Cochin International Airport,Kochi,India,10.152,76.401901,Dubai International Airport,Dubai,United Arab Emirates,25.2527999878,55.3643989563,Cochin International Airport → Dubai International Airport,International
6E,2850.0,COK,3136.0,MAA,3144.0,,0,320,Cochin International Airport,Kochi,India,10.152,76.401901,Chennai International Airport,Madras,India,12.990005493164062,80.16929626464844,Cochin International Airport → Chennai International Airport,Domestic
6E,2850.0,COK,3136.0,TRV,3153.0,,0,320,Cochin International Airport,Kochi,India,10.152,76.401901,Trivandrum International Airport,Trivandrum,India,8.48211956024,76.9200973511,Cochin International Airport → Trivandrum International Airport,Domestic
6E,2850.0,DEL,3093.0,AMD,2994.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Indira Gandhi International Airport → Sardar Vallabhbhai Patel International Airport,Domestic
6E,2850.0,DEL,3093.0,BBI,3042.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Biju Patnaik Airport,Bhubaneswar,India,20.2444000244,85.8178024292,Indira Gandhi International Airport → Biju Patnaik Airport,Domestic
6E,2850.0,DEL,3093.0,BDQ,3001.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Vadodara Airport,Baroda,India,22.336201,73.226303,Indira Gandhi International Airport → Vadodara Airport,Domestic
6E,2850.0,DEL,3093.0,BKK,3885.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Suvarnabhumi Airport,Bangkok,Thailand,13.681099891662598,100.74700164794922,Indira Gandhi International Airport → Suvarnabhumi Airport,International
6E,2850.0,DEL,3093.0,BLR,3131.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Indira Gandhi International Airport → Kempegowda International Airport,Domestic
6E,2850.0,DEL,3093.0,BOM,2997.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Indira Gandhi International Airport → Chhatrapati Shivaji International Airport,Domestic
6E,2850.0,DEL,3093.0,CCU,3043.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Indira Gandhi International Airport → Netaji Subhash Chandra Bose International Airport,Domestic
6E,2850.0,DEL,3093.0,CJB,3135.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Coimbatore International Airport,Coimbatore,India,11.029999733,77.0434036255,Indira Gandhi International Airport → Coimbatore International Airport,Domestic
6E,2850.0,DEL,3093.0,COK,3136.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Cochin International Airport,Kochi,India,10.152,76.401901,Indira Gandhi International Airport → Cochin International Airport,Domestic
6E,2850.0,DEL,3093.0,DIB,3057.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Dibrugarh Airport,Mohanbari,India,27.4839000702,95.0168991089,Indira Gandhi International Airport → Dibrugarh Airport,Domestic
6E,2850.0,DEL,3093.0,DXB,2188.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Dubai International Airport,Dubai,United Arab Emirates,25.2527999878,55.3643989563,Indira Gandhi International Airport → Dubai International Airport,International
6E,2850.0,DEL,3093.0,GAU,6173.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,26.10610008239746,91.58589935302734,Indira Gandhi International Airport → Lokpriya Gopinath Bordoloi International Airport,Domestic
6E,2850.0,DEL,3093.0,GOI,3007.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Dabolim Airport,Goa,India,15.3808002472,73.8313980103,Indira Gandhi International Airport → Dabolim Airport,Domestic
6E,2850.0,DEL,3093.0,IDR,3008.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Devi Ahilyabai Holkar Airport,Indore,India,22.7217998505,75.8011016846,Indira Gandhi International Airport → Devi Ahilyabai Holkar Airport,Domestic
6E,2850.0,DEL,3093.0,IXB,3040.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Bagdogra Airport,Baghdogra,India,26.68120002746582,88.32859802246094,Indira Gandhi International Airport → Bagdogra Airport,Domestic
6E,2850.0,DEL,3093.0,IXJ,3100.0,,0,320,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Jammu Airport,Jammu,India,32.6890983582,74.8374023438,Indira Gandhi International Airport → Jammu Airport,Domestic
